[00:00:33] [Server thread/WARN]: UUID of added entity already exists: class_1542['Breeze Rod'/25567, l='ServerLevel[world]', x=-273.19, y=-14.00, z=52.36]
[00:01:30] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/25796, l='ServerLevel[world]', x=-261.51, y=-20.00, z=-24.78]
[00:01:30] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/25797, l='ServerLevel[world]', x=-261.51, y=-20.00, z=-24.78]
[00:01:46] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/25844, l='ServerLevel[world]', x=-264.70, y=-20.00, z=-26.55]
[00:01:59] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/25905, l='ServerLevel[world]', x=-263.49, y=-20.00, z=-23.07]
[00:01:59] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/25906, l='ServerLevel[world]', x=-263.49, y=-20.00, z=-23.07]
[00:02:12] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/25938, l='ServerLevel[world]', x=-263.21, y=-20.00, z=-22.55]
[00:02:12] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow of Poison'/25939, l='ServerLevel[world]', x=-263.21, y=-20.00, z=-22.55]
[00:02:40] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/26010, l='ServerLevel[world]', x=-262.50, y=-20.00, z=-21.20]
[00:02:40] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/26011, l='ServerLevel[world]', x=-262.50, y=-20.00, z=-21.20]
[00:02:50] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/26039, l='ServerLevel[world]', x=-264.70, y=-20.00, z=-21.70]
[00:02:50] [Server thread/WARN]: UUID of added entity already exists: class_1542['Bone'/26040, l='ServerLevel[world]', x=-264.70, y=-20.00, z=-21.70]
[00:03:48] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/26255, l='ServerLevel[world]', x=-255.47, y=-25.00, z=-14.30]
[00:03:55] [Server thread/WARN]: UUID of added entity already exists: class_1542['Arrow'/26276, l='ServerLevel[world]', x=-258.52, y=-25.00, z=-18.18]
